"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
0,1,"ALB","Albania","ECA","N","1981","1996","X",58.16801,1.9,151.542,0.04140349,0.006502471,0.001736175,0.007711771,0.2701034,133.1836,0.1191043,-1,2.726056,"ALB_N1996X",0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
0,0,"DZA","Algeria","MNA","N","1981","1988","X",31.77229,1.9,238.2696,0.02720442,0.001977771,0.0001926279,0.002124586,0.4019491,177.2964,0.2817323,0.3079208,19.943664,"DZA_N1988X",0.027,0.03839,0.04869,0.05868,0.06898,0.08035,0.09398,0.1124,0.1434,0.3281
0,1,"AGO","Angola","SSA","N","1981","2000.21","X",73.83312,1.9,167.5672,0.2561779,0.1139267,0.06751259,0.1907507,0.5195689,105.9917,0.5125765,-1,9.244507,"AGO_N2000X",0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
1,0,"ARG","Argentina","LAC","U","1981","","Y",2.768382,1.9,771.269,0.003547907,0.00173,0.001702633,-1,-1,-1,-1,-1,23.780332849,"ARG_U1980Y",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,"ARM","Armenia","ECA","N","1981","1996","Y",183.7796,1.9,210.2306,0.0957368,0.0221702,0.008051604,0.0280737,0.4441862,144.9288,0.3354787,0.3826619,3.148092,"ARM_N1996Y",0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
0,1,"AUS","Australia","OHI","N","1981","1981","Y",1.526641,1.9,1041.642,0.009935031,0.00486439,0.00341409,0.01048194,0.3132579,878.1883,0.1871019,-1,14.927,"AUS_N1981Y",0.02786,0.0489,0.05984,0.06916,0.07836,0.09063,0.1065,0.1272,0.1585,0.233
0,1,"AUT","Austria","OHI","N","1981","2003","Y",0.8475838,1.9,1008.466,0.004829058,0.002529456,0.00204673,0.006528921,0.2946442,875.2287,0.1587559,-1,7.56871,"AUT_N2003Y",0.0331,0.05166,0.0622,0.0722,0.08163,0.0922,0.1053,0.1213,0.146,0.2344
0,1,"AZE","Azerbaijan","ECA","N","1981","1995","X",0.3294187,1.9,620.6778,0.005076344,0.00198188,0.0009544037,0.002738675,0.3465029,505.9117,0.2078099,-1,6.24932,"AZE_N1995X",0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677
0,0,"BGD","Bangladesh","SAS","N","1981","1983.5","X",24.84915,1.9,83.96664,0.270362,0.06238934,0.02062749,0.07873359,0.2587649,75.06954,0.1121437,0.2039662,83.721268,"BGD_N1983X",0.04127,0.0559,0.06679,0.07612,0.08495,0.09409,0.1045,0.118,0.1397,0.2187
0,0,"BLR","Belarus","ECA","N","1981","1993","Y",1832.435,1.9,247.2384,0.0004034856,9.868693E-05,5.176044E-05,0.0001033399,0.2160372,228.1522,0.07740133,0.1706868,9.71,"BLR_N1993Y",0.0487,0.06248,0.07237,0.08066,0.08841,0.09634,0.1053,0.1168,0.135,0.194
0,1,"BEL","Belgium","OHI","N","1981","2003","Y",0.879014,1.9,918.5506,0.004962496,0.002071025,0.001363102,0.003595371,0.2814264,819.7619,0.1450443,-1,9.858982,"BEL_N2003Y",0.03284,0.05271,0.0646,0.07461,0.08443,0.09426,0.106,0.1211,0.1472,0.2223
0,1,"BLZ","Belize","LAC","N","1981","1993","Y",1.182611,1.9,272.2305,0.1441956,0.06501653,0.04167346,0.1088413,0.6025399,135.4174,0.7124081,-1,0.147566,"BLZ_N1993Y",0.008472,0.02114,0.02854,0.03667,0.04525,0.05523,0.07056,0.09123,0.1316,0.5113
0,1,"BEN","Benin","SSA","N","1981","2003","X",224.9172,1.9,69.10618,0.5750665,0.2074585,0.09797709,0.2904843,0.385782,51.67805,0.2463929,-1,3.820128,"BEN_N2003X",0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
0,1,"BTN","Bhutan","SAS","N","1981","2003","X",16.96291,1.9,46.10651,0.7795229,0.3853202,0.2274277,0.606412,0.40898,32.60089,0.272455,-1,0.42038,"BTN_N2003X",0.02813,0.0372,0.04557,0.0541,0.06501,0.07725,0.09501,0.1182,0.1573,0.3222
